condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
learned_b3_s29,learned,3,29,tinystories,attention,128,,,,,,,,,0.152374138434728,0.06283719283203747,0.14842562563171732,0.02156187006039545,0.0002640706836274376,0.03868063539266586,7
learned_b3_s29,learned,3,29,tinystories,attention,256,,,,,,,,,0.18243952159287866,0.06841603843386534,0.17775876727789452,0.028486079711001366,0.00030711709050024183,0.050944529473781586,12
learned_b3_s29,learned,3,29,tinystories,attention,512,,,,,,,,,0.2002939174049779,0.07848581613620587,0.1941338940704116,0.03288757859263569,0.00033337795073862253,0.05891682952642441,12
learned_b3_s29,learned,3,29,tinystories,attention,1024,,,,,,,,,0.21831567299075244,0.08713697365144404,0.21072282081361998,0.03643697302322835,0.00035754393601905576,0.06454181671142578,12
random_b3_s43,random,3,43,wikitext,reconstruction,1024,0.00026671110978782053,0.14483399233722594,0.0341895522878348,0.9830078771337867,0.0003909396327799186,1,1,1024,,,,,,,
random_b3_s43,random,3,43,wikitext,attention,128,,,,,,,,,0.19991814397102178,0.13867568969726562,0.18068719705800948,0.02208518295083195,0.0002886887637600921,0.04050162434577942,1
random_b3_s43,random,3,43,wikitext,attention,256,,,,,,,,,0.22689631105860847,0.16534923938925628,0.1995559400920029,0.02718071622075513,0.0003333918685939352,0.045893967151641846,12
random_b3_s43,random,3,43,wikitext,attention,512,,,,,,,,,0.2597899827343679,0.1917232843751331,0.22303216496277972,0.03340758947888389,0.0003807086721394626,0.05588177591562271,12
random_b3_s43,random,3,43,wikitext,attention,1024,,,,,,,,,0.2896532575095572,0.2127891634150249,0.24437402944269104,0.03923688764916733,0.0004127494801764442,0.06428912281990051,12
random_b3_s43,random,3,43,tinystories,reconstruction,1024,0.0002659334521837309,0.15460205210547429,0.03407318891961681,0.9830568201723509,0.00041008624248206615,6,3,1024,,,,,,,
random_b3_s43,random,3,43,tinystories,attention,128,,,,,,,,,0.19696061856062838,0.13726500161858493,0.17811893789127825,0.02487791870953515,0.0003284751274890141,0.03937862813472748,12
random_b3_s43,random,3,43,tinystories,attention,256,,,,,,,,,0.23784575017045909,0.15485375586186864,0.21386606446593187,0.03307693681563251,0.0003749416715663756,0.05948701873421669,12
