condition_id,method,bit_width,seed,dataset,layer,head,normalized_key_mse,original_key_mse,original_key_relative_mse
random_b4_s29,random,4,29,tinystories,29,5,0.00011218263898626901,0.046036532148718834,0.014636186912349013
random_b4_s29,random,4,29,tinystories,29,6,6.459132964664605e-05,0.08612720295786858,0.008251174676647646
random_b4_s29,random,4,29,tinystories,29,7,6.916031998116523e-05,0.049920739606022835,0.008844454495420548
random_b4_s29,random,4,29,tinystories,30,0,6.927733556949534e-05,0.04065979551523924,0.008876054855703999
random_b4_s29,random,4,29,tinystories,30,1,7.026858293102123e-05,0.0463178800418973,0.008993722977515793
random_b4_s29,random,4,29,tinystories,30,2,8.259245441877283e-05,0.04676040634512901,0.010521592979519687
random_b4_s29,random,4,29,tinystories,30,3,7.018113683443516e-05,0.03610162157565355,0.009002970031377712
random_b4_s29,random,4,29,tinystories,30,4,7.05886195646599e-05,0.03162953071296215,0.009092039217408369
random_b4_s29,random,4,29,tinystories,30,5,6.987430970184505e-05,0.037531910464167595,0.008910643886285709
random_b4_s29,random,4,29,tinystories,30,6,7.024262049526442e-05,0.044722698628902435,0.008945012109323075
random_b4_s29,random,4,29,tinystories,30,7,7.789941992086824e-05,0.03735835663974285,0.010060042669163117
random_b4_s29,random,4,29,tinystories,31,0,6.668004243692849e-05,0.051214879378676414,0.008533690643347023
random_b4_s29,random,4,29,tinystories,31,1,6.547044540639035e-05,0.03866064827889204,0.008366220032778263
random_b4_s29,random,4,29,tinystories,31,2,8.471460751025006e-05,0.062462298199534416,0.010807529227486878
random_b4_s29,random,4,29,tinystories,31,3,6.82631889503682e-05,0.046623075380921364,0.008729497749441218
random_b4_s29,random,4,29,tinystories,31,4,6.974401367187966e-05,0.029841072857379913,0.00892263317077921
random_b4_s29,random,4,29,tinystories,31,5,6.687612039968371e-05,0.03080857777968049,0.008544353370522362
random_b4_s29,random,4,29,tinystories,31,6,8.739044642425142e-05,0.05402745120227337,0.011256119705661786
random_b4_s29,random,4,29,tinystories,31,7,6.846824908279814e-05,0.030384421348571777,0.008763152244930524
learned_b4_s29,learned,4,29,wikitext,0,0,4.3797562284453306e-05,0.0174895734526217,0.005776540703896271
learned_b4_s29,learned,4,29,wikitext,0,1,4.761395575769711e-05,0.015078173717483878,0.006177995827370326
learned_b4_s29,learned,4,29,wikitext,0,2,4.43793396698311e-05,0.011530432850122452,0.0049521455224310435
learned_b4_s29,learned,4,29,wikitext,0,3,4.4761249228031375e-05,0.008200123673304915,0.005708556347945835
learned_b4_s29,learned,4,29,wikitext,0,4,4.569999236991862e-05,0.007853403920307755,0.005491959385482199
learned_b4_s29,learned,4,29,wikitext,0,5,4.40060393884778e-05,0.009273598669096828,0.005872456392571503
learned_b4_s29,learned,4,29,wikitext,0,6,4.767497921420727e-05,0.021811573300510645,0.006546747506976027
learned_b4_s29,learned,4,29,wikitext,0,7,4.203731987217907e-05,0.00966918608173728,0.005848915106392537
learned_b4_s29,learned,4,29,wikitext,1,0,6.107012177380966e-05,0.03165073320269585,0.007809960851006
learned_b4_s29,learned,4,29,wikitext,1,1,6.0519141698023304e-05,0.035418122075498104,0.007742155355430825
learned_b4_s29,learned,4,29,wikitext,1,2,5.406098716775887e-05,0.02763110864907503,0.006924037007826184
learned_b4_s29,learned,4,29,wikitext,1,3,6.158420364954509e-05,0.029846705961972475,0.007883161041387834
learned_b4_s29,learned,4,29,wikitext,1,4,6.122356444393517e-05,0.04662757087498903,0.007831271066014778
learned_b4_s29,learned,4,29,wikitext,1,5,6.135881540103583e-05,0.03635454457253218,0.007850227770661257
learned_b4_s29,learned,4,29,wikitext,1,6,6.069241044315277e-05,0.03417655918747187,0.007805743295627169
learned_b4_s29,learned,4,29,wikitext,1,7,6.200534335221164e-05,0.027018022257834673,0.007935537652896466
learned_b4_s29,learned,4,29,wikitext,2,0,6.456428491219413e-05,0.03659266512840986,0.00827036221553595
learned_b4_s29,learned,4,29,wikitext,2,1,6.33399722573813e-05,0.035070362500846386,0.0081116612388154
learned_b4_s29,learned,4,29,wikitext,2,2,6.470282642112579e-05,0.03839911986142397,0.008286018452603723
learned_b4_s29,learned,4,29,wikitext,2,3,6.57538439554628e-05,0.03292483603581786,0.008422979308194656
learned_b4_s29,learned,4,29,wikitext,2,4,6.433557064156048e-05,0.027701010461896658,0.008234285713785818
learned_b4_s29,learned,4,29,wikitext,2,5,6.75011397106573e-05,0.028814892750233412,0.00864936233087081
learned_b4_s29,learned,4,29,wikitext,2,6,6.430222674680408e-05,0.036404567770659924,0.008239104837741243
learned_b4_s29,learned,4,29,wikitext,2,7,6.373291216732468e-05,0.042049167677760124,0.008165140417277875
learned_b4_s29,learned,4,29,wikitext,3,0,6.410042988136411e-05,0.029644774738699198,0.008201532307016588
learned_b4_s29,learned,4,29,wikitext,3,1,6.473599933087826e-05,0.03224486578255892,0.008285586163488626
learned_b4_s29,learned,4,29,wikitext,3,2,6.356505036819726e-05,0.039110480807721615,0.008139217776392418
learned_b4_s29,learned,4,29,wikitext,3,3,6.382168612617534e-05,0.03282677661627531,0.00816609600831962
learned_b4_s29,learned,4,29,wikitext,3,4,6.25396023679059e-05,0.039463428780436516,0.008000252938706057
learned_b4_s29,learned,4,29,wikitext,3,5,6.378243597282562e-05,0.02343146502971649,0.008165750794334058
