condition_id,method,bit_width,seed,dataset,layer,head,normalized_key_mse,original_key_mse,original_key_relative_mse
identity_b2_snone,identity,2,,wikitext,7,0,0.0019527646072674543,1.3044102191925049,0.2498015969360627
identity_b2_snone,identity,2,,wikitext,7,1,0.002758585847914219,1.6787068247795105,0.3497198134064547
identity_b2_snone,identity,2,,wikitext,7,2,0.0023321316111832857,1.8128578662872314,0.29572048917451355
identity_b2_snone,identity,2,,wikitext,7,3,0.002263185742776841,1.595904529094696,0.28643736245439144
identity_b2_snone,identity,2,,wikitext,7,4,0.0024174070567823946,1.7979480624198914,0.30454007633834407
identity_b2_snone,identity,2,,wikitext,7,5,0.0018182622152380645,0.8541091829538345,0.23145875114521375
identity_b2_snone,identity,2,,wikitext,7,6,0.001517805503681302,1.0566981583833694,0.19094626826665956
identity_b2_snone,identity,2,,wikitext,7,7,0.002803783514536917,1.9641844034194946,0.35577664907890433
identity_b2_snone,identity,2,,wikitext,8,0,0.0015277198108378798,0.9139669686555862,0.19416296880286157
identity_b2_snone,identity,2,,wikitext,8,1,0.0019788539211731404,0.9980113059282303,0.25257095502038485
identity_b2_snone,identity,2,,wikitext,8,2,0.0016944495437201113,1.1224888861179352,0.21475964034145803
identity_b2_snone,identity,2,,wikitext,8,3,0.002315088640898466,1.5882826447486877,0.2932213747702131
identity_b2_snone,identity,2,,wikitext,8,4,0.002029446652159095,1.0836395919322968,0.2597280318484305
identity_b2_snone,identity,2,,wikitext,8,5,0.0024846476153470576,1.3910581171512604,0.3175839896322489
identity_b2_snone,identity,2,,wikitext,8,6,0.0017572061042301357,1.0087053775787354,0.22332290591244727
identity_b2_snone,identity,2,,wikitext,8,7,0.0014766690146643668,0.9517198652029037,0.18662515130733134
identity_b2_snone,identity,2,,wikitext,9,0,0.001630685932468623,1.003010094165802,0.20676046838005105
identity_b2_snone,identity,2,,wikitext,9,1,0.001725911773974076,0.5636898577213287,0.22041251905069284
identity_b2_snone,identity,2,,wikitext,9,2,0.0022846630308777094,1.6835762858390808,0.2921618957283145
identity_b2_snone,identity,2,,wikitext,9,3,0.0017657916760072112,0.9405540525913239,0.22241983081162792
identity_b2_snone,identity,2,,wikitext,9,4,0.0019755280227400362,1.1007986962795258,0.2523066620774689
identity_b2_snone,identity,2,,wikitext,9,5,0.0018178961763624102,0.8736922740936279,0.22989574195533252
identity_b2_snone,identity,2,,wikitext,9,6,0.0014759704063180834,0.8316938281059265,0.188195044067034
identity_b2_snone,identity,2,,wikitext,9,7,0.001677445718087256,0.9556934386491776,0.2134025035313704
identity_b2_snone,identity,2,,wikitext,10,0,0.0021626956295222044,1.3588199615478516,0.2766222118505886
identity_b2_snone,identity,2,,wikitext,10,1,0.0024237202596850693,1.0470573157072067,0.30893416303832527
