condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
learned_b2_s43,learned,2,43,tinystories,attention,128,,,,,,,,,0.4693722466165705,0.1228143450363662,0.4542888832698589,0.07895942556206137,0.001121973428240608,0.14840126037597656,7
learned_b2_s43,learned,2,43,tinystories,attention,256,,,,,,,,,0.527085356211384,0.11490416944258872,0.5138823880560929,0.10102076770272106,0.001246588402210591,0.16827982664108276,7
learned_b2_s43,learned,2,43,tinystories,attention,512,,,,,,,,,0.5727239631072819,0.12127341664819224,0.5580167215217559,0.11636187217663974,0.0013304544628169879,0.18382012844085693,7
learned_b2_s43,learned,2,43,tinystories,attention,1024,,,,,,,,,0.6194987478488829,0.12127452636637338,0.6047912371034947,0.12804823997430503,0.0013922031900506227,0.1969706416130066,7
identity_b3_snone,identity,3,,wikitext,reconstruction,1024,0.0009515778198192493,0.5456061131408205,0.1257988408280854,0.9409256881917827,0.002837634237948805,29,6,1024,,,,,,,
identity_b3_snone,identity,3,,wikitext,attention,128,,,,,,,,,5.1480034756106,1.8441748041515202,1.7470227673433016,1.0582907267380506,0.01770351856629304,1.888610601425171,28
identity_b3_snone,identity,3,,wikitext,attention,256,,,,,,,,,5.357387525098333,1.9033189775414967,1.7347643948287246,1.1133597482694313,0.016721635599012075,1.9618099927902222,28
identity_b3_snone,identity,3,,wikitext,attention,512,,,,,,,,,6.162780586971409,2.055367348719294,1.93824564879003,1.1938381415093318,0.01607324038850777,2.086641311645508,28
identity_b3_snone,identity,3,,wikitext,attention,1024,,,,,,,,,6.680458983444586,2.136644551114338,2.115209045637995,1.2197619249345735,0.015087221185041244,2.169581413269043,28
identity_b3_snone,identity,3,,tinystories,reconstruction,1024,0.0009977765320741128,0.6288650713322568,0.13230164552259263,0.9382888259133324,0.00284566666232422,29,6,1024,,,,,,,
identity_b3_snone,identity,3,,tinystories,attention,128,,,,,,,,,4.696098064267358,1.6708104931568915,1.904490360224183,0.8892784935887903,0.015543337164771742,1.7308801412582397,28
identity_b3_snone,identity,3,,tinystories,attention,256,,,,,,,,,5.630123164867149,1.8787326232932422,2.100486895040841,1.026681064395234,0.015535786888094094,1.9829051494598389,28
identity_b3_snone,identity,3,,tinystories,attention,512,,,,,,,,,6.396524286177191,2.036529274247078,2.2490728013118595,1.102337182383053,0.01539977510395829,2.135901689529419,28
identity_b3_snone,identity,3,,tinystories,attention,1024,,,,,,,,,7.344943962562375,2.221962463099782,2.4078267751379245,1.1912815866526216,0.015559645997598182,2.310791015625,28
random_b3_s17,random,3,17,wikitext,reconstruction,1024,0.00026532040206461716,0.14748375931958435,0.03400490851645473,0.9830999088590033,0.0003938981462852098,8,5,1024,,,,,,,
random_b3_s17,random,3,17,wikitext,attention,128,,,,,,,,,0.21492077791413597,0.13486994153191878,0.19673087678531279,0.023159981094067916,0.000330510499054526,0.04351793974637985,7
random_b3_s17,random,3,17,wikitext,attention,256,,,,,,,,,0.237393936294526,0.16161977577998016,0.21127298437135492,0.027767683670390397,0.0003620833564212944,0.04926477372646332,7
random_b3_s17,random,3,17,wikitext,attention,512,,,,,,,,,0.2708461651792768,0.1888295449243884,0.2351895681429252,0.03422160149784759,0.00040722518022562326,0.06177326291799545,12
random_b3_s17,random,3,17,wikitext,attention,1024,,,,,,,,,0.2972194876321932,0.20855858570191918,0.2537228039622084,0.04054153058677912,0.000436670296735997,0.07003499567508698,12
random_b3_s17,random,3,17,tinystories,reconstruction,1024,0.00026605927023126696,0.16208460589768947,0.03409962017562176,0.9830547799938358,0.00041500821680529043,8,5,1024,,,,,,,
