bit_width,seed,condition,layer,head,wikitext_validation_normalized_key_mse,relative_change_vs_random
2,17,random_initialization,28,2,0.000880532508745091,0.0
2,17,random_initialization,28,3,0.0008733553659112658,0.0
2,17,random_initialization,28,4,0.0008610024815425277,0.0
2,17,random_initialization,28,5,0.0009012296868604608,0.0
2,17,random_initialization,28,6,0.0008476805669488385,0.0
2,17,random_initialization,28,7,0.000874738565471489,0.0
2,17,random_initialization,29,0,0.0008921327971620485,0.0
2,17,random_initialization,29,1,0.0008184955368051305,0.0
2,17,random_initialization,29,2,0.0008594564606028143,0.0
2,17,random_initialization,29,3,0.0008689224487170577,0.0
2,17,random_initialization,29,4,0.0009119282512983773,0.0
2,17,random_initialization,29,5,0.0009169160948658828,0.0
2,17,random_initialization,29,6,0.000851637902087532,0.0
2,17,random_initialization,29,7,0.0008989157249743585,0.0
2,17,random_initialization,30,0,0.0008951863637776114,0.0
2,17,random_initialization,30,1,0.0008017851614567917,0.0
2,17,random_initialization,30,2,0.0009459954198973719,0.0
2,17,random_initialization,30,3,0.0010713336087064818,0.0
2,17,random_initialization,30,4,0.0009865635911410209,0.0
2,17,random_initialization,30,5,0.0008561582762922626,0.0
2,17,random_initialization,30,6,0.0008768211664573755,0.0
2,17,random_initialization,30,7,0.0009052615387190599,0.0
2,17,random_initialization,31,0,0.0009907204221235588,0.0
2,17,random_initialization,31,1,0.0008857237226038706,0.0
2,17,random_initialization,31,2,0.0008967834073700942,0.0
2,17,random_initialization,31,3,0.0009932679968187585,0.0
2,17,random_initialization,31,4,0.0008864714036462829,0.0
2,17,random_initialization,31,5,0.0008815665314614307,0.0
2,17,random_initialization,31,6,0.0009459591819904745,0.0
2,17,random_initialization,31,7,0.0008415936317760497,0.0
2,17,existing_80_step,0,0,0.00025791248299356084,-0.6648530811119018
2,17,existing_80_step,0,1,0.00033037014509318396,-0.6333953803365949
2,17,existing_80_step,0,2,0.00037098704888194334,-0.5361785076195158
2,17,existing_80_step,0,3,0.00030575138771382626,-0.6299051184562926
2,17,existing_80_step,0,4,0.0002739699320954969,-0.6619654227667942
2,17,existing_80_step,0,5,0.00026393273583380505,-0.6993518446116516
2,17,existing_80_step,0,6,0.00036975608963984996,-0.6119529190259428
2,17,existing_80_step,0,7,0.00021934073993179481,-0.7663875005638642
2,17,existing_80_step,1,0,0.000340405169481528,-0.6152462338545348
2,17,existing_80_step,1,1,0.0003659660978883039,-0.6161300610153124
2,17,existing_80_step,1,2,0.0001712614011921687,-0.8059231165238033
2,17,existing_80_step,1,3,0.0003435096932662418,-0.6073923038139895
2,17,existing_80_step,1,4,0.00034949184555443935,-0.6241323507094213
2,17,existing_80_step,1,5,0.00042444048085599206,-0.4867460863344109
2,17,existing_80_step,1,6,0.0004149280157434987,-0.4895934991024632
2,17,existing_80_step,1,7,0.00038762742224207614,-0.5345125302050192
2,17,existing_80_step,2,0,0.000576742702833144,-0.3647019339027371
2,17,existing_80_step,2,1,0.00047550042836519424,-0.5030262080912297
2,17,existing_80_step,2,2,0.0006032446253811941,-0.39148928405986344
2,17,existing_80_step,2,3,0.0006527167897729669,-0.2771206764229835
2,17,existing_80_step,2,4,0.0006101530852902215,-0.32782388320442013
2,17,existing_80_step,2,5,0.0006611716380575672,-0.2858975799436844
2,17,existing_80_step,2,6,0.0006076937097532209,-0.3168553602828899
2,17,existing_80_step,2,7,0.0005486442532856017,-0.3855520529589028
2,17,existing_80_step,3,0,0.0005600852928182576,-0.3644819637379537
2,17,existing_80_step,3,1,0.0005924419092480093,-0.28158788807548735
2,17,existing_80_step,3,2,0.0005081834842712851,-0.4694308214477118
2,17,existing_80_step,3,3,0.0005813778006995562,-0.3742247413184727
2,17,existing_80_step,3,4,0.0004188492730463622,-0.5176374216566341
2,17,existing_80_step,3,5,0.0005495748300745618,-0.3900951151939611
2,17,existing_80_step,3,6,0.0006073113363527227,-0.3421054475546298
2,17,existing_80_step,3,7,0.0004967458644387079,-0.4419103839229406
2,17,existing_80_step,4,0,0.0005720852059312165,-0.32832350544590366
2,17,existing_80_step,4,1,0.0005768543014710303,-0.4876418530330502
2,17,existing_80_step,4,2,0.0005888031337235589,-0.2658775278546249
2,17,existing_80_step,4,3,0.0005011741741327569,-0.5431016797358662
2,17,existing_80_step,4,4,0.0006237035013327841,-0.29960407165414504
2,17,existing_80_step,4,5,0.0005388904537539929,-0.39073990637350314
2,17,existing_80_step,4,6,0.00048776176845422015,-0.4569588930498817
2,17,existing_80_step,4,7,0.000570406235055998,-0.3603349651300877
2,17,existing_80_step,5,0,0.0006279144836298656,-0.29973648723694973
2,17,existing_80_step,5,1,0.0006922264619788621,-0.2726367043183411
2,17,existing_80_step,5,2,0.0006393358089553658,-0.26177675310300025
2,17,existing_80_step,5,3,0.0005561188081628643,-0.4397277817385417
2,17,existing_80_step,5,4,0.0006413869523385074,-0.2803971251428272
2,17,existing_80_step,5,5,0.0006402863691619132,-0.2712882030099284
2,17,existing_80_step,5,6,0.00038362508348654956,-0.5377221431795973
2,17,existing_80_step,5,7,0.0005843377148266882,-0.43550366718450684
2,17,existing_80_step,6,0,0.0005840313169755973,-0.35839215187009504
2,17,existing_80_step,6,1,0.0005965652999293525,-0.455665427855604
2,17,existing_80_step,6,2,0.0005988488192087971,-0.46567534899147117
2,17,existing_80_step,6,3,0.0005617974966298789,-0.3133693598758135
2,17,existing_80_step,6,4,0.0005373909079935402,-0.4007715379079497
2,17,existing_80_step,6,5,0.0006107496337790508,-0.3134652267298382
2,17,existing_80_step,6,6,0.0006271228230616543,-0.29987267861653644
2,17,existing_80_step,6,7,0.0006484565310529433,-0.28798707662865325
2,17,existing_80_step,7,0,0.0005986699725326616,-0.36005545779168613
2,17,existing_80_step,7,1,0.0005792887313873507,-0.3185853319135004
2,17,existing_80_step,7,2,0.0006307732073764782,-0.27865658523799114
2,17,existing_80_step,7,3,0.000561250803002622,-0.40966449532756777
2,17,existing_80_step,7,4,0.0005754439189331606,-0.46504196779065826
2,17,existing_80_step,7,5,0.0006193520093802363,-0.3089512922407308
2,17,existing_80_step,7,6,0.0006680528131255414,-0.23709687079237432
2,17,existing_80_step,7,7,0.000594024113524938,-0.34169169667720584
2,17,existing_80_step,8,0,0.0006824107767897658,-0.2772628577368737
2,17,existing_80_step,8,1,0.0005487582384375855,-0.3784132620090461
2,17,existing_80_step,8,2,0.0006459393880504649,-0.24946555302640805
2,17,existing_80_step,8,3,0.0006754478272341657,-0.2696564725958214
2,17,existing_80_step,8,4,0.0005830043919559103,-0.3131990599972195
2,17,existing_80_step,8,5,0.0004517432753345929,-0.5826957167460254
2,17,existing_80_step,8,6,0.0006390233975253068,-0.3626561490659404
2,17,existing_80_step,8,7,0.0007341541204368696,-0.1438819203042302
2,17,existing_80_step,9,0,0.0007258973128045909,-0.14604446588284883
2,17,existing_80_step,9,1,0.000527873715327587,-0.4544587447045765
2,17,existing_80_step,9,2,0.0005212411269894801,-0.3469397572485282
2,17,existing_80_step,9,3,0.0006955120225029532,-0.245150950511153
2,17,existing_80_step,9,4,0.0006942344116396271,-0.21653308999606033
2,17,existing_80_step,9,5,0.0006792907988710795,-0.21717199637380843
2,17,existing_80_step,9,6,0.0006521322065964341,-0.25485171098220216
2,17,existing_80_step,9,7,0.0006839948728156742,-0.25676950604775467
2,17,existing_80_step,10,0,0.0006873467573313974,-0.20117133135974877
2,17,existing_80_step,10,1,0.0006301257308223285,-0.2513979634272521
2,17,existing_80_step,10,2,0.0005939958209637552,-0.3019753021269147
2,17,existing_80_step,10,3,0.0006712470822094474,-0.31491990195836617
2,17,existing_80_step,10,4,0.0007176235121733043,-0.2332135984806983
2,17,existing_80_step,10,5,0.0006806052988395095,-0.23902206850465677
2,17,existing_80_step,10,6,0.0006718049880873878,-0.3197007123500789
2,17,existing_80_step,10,7,0.0007023727011983283,-0.18065908401162592
2,17,existing_80_step,11,0,0.000683353835484013,-0.2719400172026134
2,17,existing_80_step,11,1,0.0007290272224054206,-0.17658236692602713
2,17,existing_80_step,11,2,0.0006615159181819763,-0.2940035062188152
2,17,existing_80_step,11,3,0.0007016846575425006,-0.22876105153463877
2,17,existing_80_step,11,4,0.0006268996366998181,-0.2908468197350584
2,17,existing_80_step,11,5,0.0006787242600694299,-0.2533257379190498
2,17,existing_80_step,11,6,0.0006934595730854198,-0.22603120115981193
2,17,existing_80_step,11,7,0.0006704993902530987,-0.19782986731402907
2,17,existing_80_step,12,0,0.0005765081004938111,-0.3666398039344953
2,17,existing_80_step,12,1,0.0006527283949253615,-0.2951147348090822
2,17,existing_80_step,12,2,0.0006526309007313102,-0.28544622947687215
2,17,existing_80_step,12,3,0.0006322548506432213,-0.3129348360503339
2,17,existing_80_step,12,4,0.0005684219649992883,-0.3479067069272924
2,17,existing_80_step,12,5,0.000549665328435367,-0.4265622977748318
2,17,existing_80_step,12,6,0.0006176496935950126,-0.3694527927855329
2,17,existing_80_step,12,7,0.0006297193212958518,-0.25984422634217086
2,17,existing_80_step,13,0,0.0007470901146007236,-0.1847897934493568
2,17,existing_80_step,13,1,0.000722794695320772,-0.18176351661213233
2,17,existing_80_step,13,2,0.0007284553539648186,-0.16098907313378438
2,17,existing_80_step,13,3,0.0007083595046424307,-0.22597980741892493
2,17,existing_80_step,13,4,0.000699643038387876,-0.24352462984901513
2,17,existing_80_step,13,5,0.0007176103099482134,-0.2288205508923272
2,17,existing_80_step,13,6,0.0006896357845107559,-0.2519625277683285
2,17,existing_80_step,13,7,0.0006241335286176763,-0.2556413137052898
2,17,existing_80_step,14,0,0.0007014869152044412,-0.29967784053783253
2,17,existing_80_step,14,1,0.0007114512409316376,-0.21551610908445945
2,17,existing_80_step,14,2,0.0005706005249521695,-0.38778585984459624
2,17,existing_80_step,14,3,0.0006951621326152235,-0.21759995072819205
2,17,existing_80_step,14,4,0.0006743161029589828,-0.24602221911490654
2,17,existing_80_step,14,5,0.0007029457119642757,-0.1762936695705819
2,17,existing_80_step,14,6,0.0006122809936641715,-0.27392048907224836
2,17,existing_80_step,14,7,0.0007482261935365386,-0.18474799379150525
2,17,existing_80_step,15,0,0.0006942668151168618,-0.2473278039289625
2,17,existing_80_step,15,1,0.0006228399797691964,-0.36794551883339055
2,17,existing_80_step,15,2,0.0006592276658921037,-0.26962431559847316
2,17,existing_80_step,15,3,0.000662947499222355,-0.18441189799208085
2,17,existing_80_step,15,4,0.0006865759678476024,-0.252114557094166
2,17,existing_80_step,15,5,0.0007156077517720405,-0.24155652877824624
2,17,existing_80_step,15,6,0.0006539054484164808,-0.2552405525199919
2,17,existing_80_step,15,7,0.0006475219561252743,-0.2333477268601085
2,17,existing_80_step,16,0,0.0006400958336598706,-0.2506666771036371
2,17,existing_80_step,16,1,0.0006383424515661318,-0.28310438335975846
2,17,existing_80_step,16,2,0.000677894913678756,-0.19698886751337336
2,17,existing_80_step,16,3,0.0005313106994435657,-0.4079531806615116
2,17,existing_80_step,16,4,0.0006754598507541232,-0.2808092902979181
2,17,existing_80_step,16,5,0.000635653137578629,-0.27364897202876615
2,17,existing_80_step,16,6,0.000718924817192601,-0.24947426200938108
2,17,existing_80_step,16,7,0.0005098098954476882,-0.3745131855840623
2,17,existing_80_step,17,0,0.0007012699607003015,-0.19510171802930745
2,17,existing_80_step,17,1,0.0006661180159426294,-0.2704617874377942
2,17,existing_80_step,17,2,0.0006259932961256709,-0.38112422362656617
2,17,existing_80_step,17,3,0.0006701946149405558,-0.17607987577713644
2,17,existing_80_step,17,4,0.0006447574633057229,-0.2736903084560073
2,17,existing_80_step,17,5,0.0006754252135579009,-0.22020174916060564
2,17,existing_80_step,17,6,0.0006882777088321745,-0.22181032529901112
2,17,existing_80_step,17,7,0.0007164096386986785,-0.16564496878682514
2,17,existing_80_step,18,0,0.0006881489971419796,-0.2170345201110958
2,17,existing_80_step,18,1,0.000674787526804721,-0.2418488686780852
2,17,existing_80_step,18,2,0.0007045797246973962,-0.22251172773520345
2,17,existing_80_step,18,3,0.000690221775585087,-0.2575921341736614
2,17,existing_80_step,18,4,0.0006611494536628015,-0.22941880753288688
2,17,existing_80_step,18,5,0.0006813912732468452,-0.2583205452290235
2,17,existing_80_step,18,6,0.0006175216585688759,-0.3214464588196924
2,17,existing_80_step,18,7,0.0006626986360060982,-0.3148904624489399
2,17,existing_80_step,19,0,0.0006776874215574935,-0.22677316346127058
2,17,existing_80_step,19,1,0.000631228231213754,-0.3396454227150736
2,17,existing_80_step,19,2,0.0006897648017911706,-0.2807088625958402
2,17,existing_80_step,19,3,0.0006992758280830458,-0.180934533166779
2,17,existing_80_step,19,4,0.0006497091417259071,-0.29253232022271386
2,17,existing_80_step,19,5,0.0006409722518583294,-0.24579143052333138
2,17,existing_80_step,19,6,0.0006331989497994073,-0.2132719093325316
2,17,existing_80_step,19,7,0.0006646872534474824,-0.2654879313871188
2,17,existing_80_step,20,0,0.0006874067548778839,-0.28723228254227956
2,17,existing_80_step,20,1,0.0006293068254308309,-0.2985103280021051
2,17,existing_80_step,20,2,0.0006832815743109677,-0.27390023884833986
2,17,existing_80_step,20,3,0.0006476839080278296,-0.3271465883258083
2,17,existing_80_step,20,4,0.0006477845090557821,-0.24202131061644377
2,17,existing_80_step,20,5,0.0006575481856998522,-0.3222589113178921
2,17,existing_80_step,20,6,0.000719758518243907,-0.1755390648406918
2,17,existing_80_step,20,7,0.0006664320098934695,-0.23710220751286976
2,17,existing_80_step,21,0,0.0007186672082752921,-0.23471238077138876
2,17,existing_80_step,21,1,0.0005730414377467241,-0.43838918052921055
2,17,existing_80_step,21,2,0.0006546426411659922,-0.27890085929858033
2,17,existing_80_step,21,3,0.0006738846168445889,-0.2611393460987236
2,17,existing_80_step,21,4,0.0005842970531375613,-0.38422233775381953
2,17,existing_80_step,21,5,0.000665886760543799,-0.22198464799328127
2,17,existing_80_step,21,6,0.0006743902304151561,-0.22257072726407734
2,17,existing_80_step,21,7,0.0006959124366403557,-0.3260024369775607
2,17,existing_80_step,22,0,0.0006892499695823062,-0.20939227902408883
2,17,existing_80_step,22,1,0.000582815810048487,-0.32272461329634894
2,17,existing_80_step,22,2,0.0006835802269051783,-0.25196133075991495
2,17,existing_80_step,22,3,0.00067498173302738,-0.27065518999734617
2,17,existing_80_step,22,4,0.000629537691565929,-0.31479737502373717
2,17,existing_80_step,22,5,0.0006681435334030539,-0.28583590476118
2,17,existing_80_step,22,6,0.0006747194020135794,-0.25436919318800544
2,17,existing_80_step,22,7,0.0006635823119722772,-0.27241094435178265
2,17,existing_80_step,23,0,0.0006358872815326322,-0.30153486305421007
2,17,existing_80_step,23,1,0.0006826204444223549,-0.25814520850217454
2,17,existing_80_step,23,2,0.0006744486636307556,-0.2951854895353632
2,17,existing_80_step,23,3,0.00069540181721095,-0.23728376139336996
2,17,existing_80_step,23,4,0.0006612766374018975,-0.2290674625323327
2,17,existing_80_step,23,5,0.0006802178977522999,-0.18667560436596603
2,17,existing_80_step,23,6,0.0006690909613098484,-0.32180682663186366
